time,rank,Maps_uid,Maps_number,Players_pid,Players_name
00:24.94,4,fRTbc5NvJhUao05UhuAposyjnK3,34,2484,Roa〆
00:27.00,5,fRTbc5NvJhUao05UhuAposyjnK3,34,1798,byoš
00:27.08,6,fRTbc5NvJhUao05UhuAposyjnK3,34,2146,alecks〢ᄂᄆᄂ« т³
00:27.94,7,fRTbc5NvJhUao05UhuAposyjnK3,34,336,»ғฟ๏« Ŀιиκ.* Law
00:28.16,8,fRTbc5NvJhUao05UhuAposyjnK3,34,552,Fmc
00:29.63,9,fRTbc5NvJhUao05UhuAposyjnK3,34,450,ImminentOmelet58
00:32.52,10,fRTbc5NvJhUao05UhuAposyjnK3,34,487,bPlayैērシmsi
00:09.05,1,AKf_HuB363R4HAwXYrEUn0cU92i,35,1974,Нтм Ď®丹ǥoNヅฟřћ*
00:09.09,2,AKf_HuB363R4HAwXYrEUn0cU92i,35,975,ѕκγ. flex
00:09.10,3,AKf_HuB363R4HAwXYrEUn0cU92i,35,1812,FIREFIGHTER
00:09.15,4,AKf_HuB363R4HAwXYrEUn0cU92i,35,3985,ңя ױ cam
00:09.18,5,AKf_HuB363R4HAwXYrEUn0cU92i,35,4183,ヅČƏβ/Ļӛ Ǧ工ĝăÑтĒ乌ҨǜҾSσĈίαL
00:09.19,6,AKf_HuB363R4HAwXYrEUn0cU92i,35,3165,ғяσैѕѕ
00:09.21,7,AKf_HuB363R4HAwXYrEUn0cU92i,35,1797,ױρאωєя.т³
00:09.21,8,AKf_HuB363R4HAwXYrEUn0cU92i,35,1798,byoš
00:09.22,9,AKf_HuB363R4HAwXYrEUn0cU92i,35,450,ImminentOmelet58
00:09.25,10,AKf_HuB363R4HAwXYrEUn0cU92i,35,120,мѕι mo
00:07.05,1,xyrnObCaWs1eW9vzYGJqn9PX1hg,36,1174,Нтм.Nad!
00:07.14,2,xyrnObCaWs1eW9vzYGJqn9PX1hg,36,5408,Σα¹²мακσ您
00:07.23,3,xyrnObCaWs1eW9vzYGJqn9PX1hg,36,3165,ғяσैѕѕ
00:07.25,4,xyrnObCaWs1eW9vzYGJqn9PX1hg,36,3474,๓ไ» βακεδ Δlαsκα « т³
00:07.26,5,xyrnObCaWs1eW9vzYGJqn9PX1hg,36,975,ѕκγ. flex
00:07.26,6,xyrnObCaWs1eW9vzYGJqn9PX1hg,36,943,ehkla.
00:07.26,7,xyrnObCaWs1eW9vzYGJqn9PX1hg,36,3219,๓ไƒ¡ll¡pp_
00:07.27,8,xyrnObCaWs1eW9vzYGJqn9PX1hg,36,1812,FIREFIGHTER
00:07.28,10,xyrnObCaWs1eW9vzYGJqn9PX1hg,36,5696,CCC〢Lzaps
00:17.35,1,wSqfHjnbPFDMX0JRAGEjvHrEyIe,37,2114,凹 faiby ?
00:17.37,2,wSqfHjnbPFDMX0JRAGEjvHrEyIe,37,436,helvete
00:17.39,3,wSqfHjnbPFDMX0JRAGEjvHrEyIe,37,1812,FIREFIGHTER
00:17.40,4,wSqfHjnbPFDMX0JRAGEjvHrEyIe,37,3955,Nem #jome
00:17.40,5,wSqfHjnbPFDMX0JRAGEjvHrEyIe,37,4183,ヅČƏβ/Ļӛ Ǧ工ĝăÑтĒ乌ҨǜҾSσĈίαL
00:17.46,6,wSqfHjnbPFDMX0JRAGEjvHrEyIe,37,1324,reasᄓnn
